   1.0000 2.7144e+08 6.2429e+07 6.9847e+08 8.3031e+07 6.8644e+08 2.0904e+08 3.4784e+08 2.0590e+08 3.3697e+08
   1.2526 2.7473e+08 5.2045e+07 6.7599e+08 6.9978e+07 6.6118e+08 2.0731e+08 3.6719e+08 2.1888e+08 3.3058e+08
   1.5051 2.5473e+08 4.5089e+07 6.0015e+08 5.9812e+07 5.8528e+08 1.9169e+08 3.4453e+08 2.1020e+08 2.9926e+08
   1.7577 2.2249e+08 4.2857e+07 5.0268e+08 5.4573e+07 4.8955e+08 1.6858e+08 3.0006e+08 1.8834e+08 2.5664e+08
   2.0102 1.8709e+08 4.5538e+07 4.0640e+08 5.4943e+07 3.9559e+08 1.4334e+08 2.5005e+08 1.6140e+08 2.1278e+08
   2.2628 1.5380e+08 4.7575e+07 3.2218e+08 5.5183e+07 3.1360e+08 1.1930e+08 2.0325e+08 1.3460e+08 1.7299e+08
   2.5153 1.2485e+08 4.5937e+07 2.5302e+08 5.2030e+07 2.4634e+08 9.8053e+07 1.6308e+08 1.1049e+08 1.3921e+08
   2.7679 1.0077e+08 4.1818e+07 1.9813e+08 4.6642e+07 1.9296e+08 8.0062e+07 1.3013e+08 8.9962e+07 1.1157e+08
   3.0204 8.1175e+07 3.7059e+07 1.5530e+08 4.0883e+07 1.5130e+08 6.5187e+07 1.0373e+08 7.2978e+07 8.9371e+07
   3.2730 6.5413e+07 3.2296e+07 1.2213e+08 3.5342e+07 1.1903e+08 5.3039e+07 8.2816e+07 5.9137e+07 7.1690e+07
   3.5255 5.2840e+07 2.7838e+07 9.6416e+07 3.0276e+07 9.3998e+07 4.3225e+07 6.6305e+07 4.7991e+07 5.7690e+07
   3.7781 4.2833e+07 2.3843e+07 7.6420e+07 2.5804e+07 7.4532e+07 3.5328e+07 5.3271e+07 3.9052e+07 4.6614e+07
   4.0306 3.4859e+07 2.0345e+07 6.0980e+07 2.1931e+07 5.9498e+07 2.8974e+07 4.3008e+07 3.1882e+07 3.7836e+07
   4.2832 2.8472e+07 1.7336e+07 4.8933e+07 1.8624e+07 4.7763e+07 2.3843e+07 3.4867e+07 2.6107e+07 3.0837e+07
   4.5357 2.3334e+07 1.4772e+07 3.9436e+07 1.5823e+07 3.8512e+07 1.9687e+07 2.8366e+07 2.1441e+07 2.5227e+07
   4.7883 1.9248e+07 1.2379e+07 3.2013e+07 1.3210e+07 3.1279e+07 1.6351e+07 2.3232e+07 1.7719e+07 2.0777e+07
   5.0408 1.5972e+07 1.0397e+07 2.6169e+07 1.1057e+07 2.5581e+07 1.3654e+07 1.9148e+07 1.4727e+07 1.7218e+07
   5.2934 1.3315e+07 8.7634e+06 2.1513e+07 9.2914e+06 2.1040e+07 1.1449e+07 1.5860e+07 1.2292e+07 1.4338e+07
   5.5459 1.1143e+07 7.4105e+06 1.7772e+07 7.8352e+06 1.7390e+07 9.6348e+06 1.3192e+07 1.0297e+07 1.1989e+07
   5.7985 9.3723e+06 6.2958e+06 1.4765e+07 6.6395e+06 1.4454e+07 8.1471e+06 1.1032e+07 8.6686e+06 1.0076e+07
   6.0510 7.9210e+06 5.3717e+06 1.2332e+07 5.6516e+06 1.2078e+07 6.9203e+06 9.2738e+06 7.3318e+06 8.5102e+06
